"","Top_25","Top_10","Rounds","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG"
"111","No","No",68,65.83,278.1,66.83,29.56,55.67,71.315,-0.478,-0.406,-0.436,0.421,0.087
"113","No","No",91,60.02,296.5,66.93,28.73,62.8,70.121,0.149,1.032,0.282,0.57,-0.09
"114","Yes","No",81,64.58,297.7,66.89,29.42,58.94,70.32,0.319,0.816,0.1,0.543,-0.145
"115","No","No",101,61.79,284,65.62,28.54,57.76,70.397,0.644,0.541,-0.111,0.194,-0.186
"117","No","No",120,63.92,283.1,65.69,28.27,60.86,70.398,0.374,0.729,-0.301,0.718,-0.062
"120","No","No",88,62.65,290.6,65.05,28.56,60.81,71.196,0.156,0.058,0.005,-0.155,0.051
"124","No","No",79,62.12,289.8,62.83,28.15,58.53,70.755,0.484,0.373,-0.032,0.054,-0.031
"126","No","No",81,51.63,288.8,61.33,28.39,57.46,71.431,0.301,-0.173,-0.455,-0.198,0.179
"127","No","No",94,52.02,288.2,62,28.5,59.1,71.073,0.353,-0.399,-0.514,-0.227,-0.012
"129","Yes","Yes",75,55.53,317.7,67.05,28.47,57.85,69.585,0.128,1.455,0.96,0.579,-0.212
"130","Yes","Yes",87,57.17,313.6,67.82,28.49,59.58,69.172,0.328,1.993,1.117,0.477,0.07
"131","Yes","Yes",77,56.44,314.4,69.61,29,62.63,69.549,0.019,1.972,1.071,0.67,0.121
"132","Yes","No",77,59.46,314,70.57,28.47,62.5,68.698,0.385,2.372,0.919,0.829,0.238
"133","No","No",90,65.29,293,67.06,29.28,56.55,70.798,-0.173,0.455,0.368,0.281,-0.116
"134","No","No",94,70.16,295.2,68.84,29.04,61.05,70.152,0.546,1.133,0.364,0.345,-0.122
"136","No","No",66,52.93,292.8,61.2,28.82,54.66,71.371,0.405,-0.024,0.065,-0.48,-0.014
"138","No","No",64,63.76,286.7,64.93,29.17,60.4,70.436,-0.296,0.562,0.192,0.484,0.183
"143","No","No",95,56.69,306.1,68.74,29.26,60.16,70.234,-0.13,0.968,0.547,0.463,0.088
"145","No","No",96,63.69,313.5,70.51,29.93,54.45,70.161,0.00699999999999999,1.066,0.803,0.484,-0.228
"146","No","No",50,59.59,293.7,66.55,30.44,51.56,71.559,-0.692,-0.432,0.138,0.082,0.039
"147","No","No",80,62.59,286.5,65.51,29.29,60.85,71.056,0.043,-0.152,-0.064,-0.327,0.196
"148","No","No",93,64.1,286.2,66.43,29.01,61.21,70.478,0.212,0.563,-0.223,0.645,-0.071
"149","Yes","Yes",65,65.46,298.7,69.15,29.26,57.34,70.72,-0.012,0.287,0.027,0.328,-0.056
"152","No","No",94,56.01,308.2,63.95,28.68,53.77,71.064,-0.082,0.064,0.353,-0.032,-0.176
"154","No","No",92,59.33,302,66.24,29.73,56.53,71.045,-0.377,0.101,0.529,0.021,-0.072
"155","Yes","No",101,59.61,302.4,67.68,29.69,56.94,70.966,-0.402,0.109,0.262,0.33,-0.081
"156","No","No",91,59.02,308.2,67.79,29.56,58.14,70.971,-0.024,0.125,0.204,-0.076,0.021
"157","No","No",105,58.51,298.4,67.05,28.83,61.65,70.235,0.56,0.777,0.009,0.207,0
"158","No","No",97,55.01,299.2,64.83,28.88,60.1,70.463,0.592,0.574,-0.344,0.2,0.127
"161","Yes","Yes",95,65.25,294.5,69.2,28.79,61.92,69.94,0.076,1.464,0.496,0.637,0.254
"162","Yes","No",76,62.04,294.5,68.11,28.82,60.86,70.034,-0.025,1.29,0.527,0.774,0.015
"164","Yes","No",75,62.82,302,69.29,29.21,60.8,70.022,0.132,1.196,0.194,0.727,0.143
"167","No","No",94,60.27,305.1,68.21,29.49,55.53,70.618,-0.005,0.314,0.454,0.202,-0.337
"168","Yes","No",88,58.91,295.1,65.79,28.98,59.6,71.124,0.39,0.12,-0.023,-0.249,0.003
"169","No","No",72,62.55,283.5,64.46,28.44,67.36,70.045,0.025,0.936,-0.162,0.573,0.501
"170","No","No",73,66.41,293.6,67.01,28.97,57.11,70.593,0.223,0.85,0.141,0.435,0.051
"171","Yes","No",89,54.05,309.9,63.66,28.32,59.35,70.581,-0.004,0.944,0.427,0.253,0.268
"172","Yes","No",77,51.68,314.5,65.17,28.84,56.68,70.523,-0.153,0.481,0.633,-0.208,0.209
"176","No","No",92,65.11,291.5,67.12,29.35,59.14,70.999,-0.027,-0.072,0.316,-0.122,-0.24
"177","No","No",85,66.18,298.2,69.48,29.63,55.76,70.525,-0.149,0.292,0.286,0.41,-0.255
"179","Yes","Yes",94,59.89,295.1,66.13,29,58.46,70.896,0.048,0.355,0.106,0.135,0.065
"183","Yes","No",91,57.32,304.8,65.32,28.9,61.44,70.896,0.142,0.463,0.532,-0.497,0.286
"185","No","No",92,56.92,303.2,64.65,28.64,61.07,70.734,0.01,0.388,-0.101,-0.04,0.519
"186","Yes","Yes",71,53.73,306.3,63.98,28.22,59.04,70.115,0.354,1.109,0.311,-0.004,0.273
"187","Yes","No",75,58.32,310,65.28,28.24,62.35,69.603,0.77,1.285,0.176,-0.14,0.479
"188","No","No",105,62.83,293.2,70.15,29.59,56.39,70.212,-0.353,0.488,0.29,0.469,0.081
"189","Yes","No",89,63.3,294.5,67.15,29.21,57.72,70.259,-0.001,0.734,0.268,0.519,-0.133
"191","No","No",88,56.41,305.6,67.3,28.99,58.3,70.654,-0.012,0.293,0.464,-0.014,-0.144
"192","Yes","Yes",89,58.41,307.4,68.66,29.64,58.37,70.57,-0.27,0.56,0.603,0.426,-0.199
"193","No","No",95,59.26,305.7,66.97,29.99,54.9,70.961,-0.405,0.073,0.607,0.077,-0.226
"194","No","No",99,58.06,309.5,70.37,29.59,55.11,70.444,0.022,0.539,0.36,0.257,-0.101
"195","Yes","Yes",95,57.28,300.8,65.91,29.58,58.15,71.054,-0.413,0.174,0.394,0.172,-0.06
